uid,fuid,id.orig_p,id.resp_p,source,depth,analyzers,mime_type,filename,duration,local_orig,is_orig,seen_bytes,total_bytes,missing_bytes,overflow_bytes,timedout,parent_fuid,md5,sha1,sha256,extracted,extracted_cutoff,extracted_size,device
CbdRpb4fz6ut2E0keg,FFTiYF4KAWHjtPpdQ1,43753,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CAmhnK2W3IoEPWdB84,FITDYMXtLD3TqZrF2,49029,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
C7Gv7S36M8rn8eem23,FRow063rJQFshUXktb,60585,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
Coc3dm3CKUigu8wmI2,FzI8Dq2mgnnCOWvm1,49725,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CFBUTAAEAS1hJ0Pkc,FgjX9q2arzYhla35vk,57347,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
Ch5KKZ1KDIrdQBFzoe,FIW7lF3t1K0BwaPAF4,47634,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CguGRB2Ulcwr4hv3Tb,FaDB594app8IQoBQn7,60044,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CIRnSF1R83DqrXWMIi,FpdNzx3aWcRqrty434,56302,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
C4UsZp2SmoEFFfunnd,Fs3phj4qbEEobkgPSl,34903,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
ChNoQV1tK2AFzBWiG7,FZ5MCx01xOIu9PTqd,37841,80,HTTP,0,(empty),text/json,-,0.073112,T,F,35,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CCzuHz34z9ZKb9DNZj,FUkA1X3krvBDMeGlue,59533,80,HTTP,0,(empty),text/json,-,0.0,T,F,243,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CgosvzoWeLOZtTwtl,FZE5Ob3XhrheAp3zP8,50071,80,HTTP,0,(empty),text/json,-,0.057934,T,F,32,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CFT05e2YZP3m9RoGDc,F9srUm3r0JbnFTMUe2,44378,80,HTTP,0,(empty),text/json,-,0.052863,T,F,32,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CzEpXh1Uw8G8Gaybz4,F6mXSy4VFrJAMv6GJf,44038,80,HTTP,0,(empty),text/json,-,0.053735,T,F,32,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
Cry9lY28HTPuH1Fvxh,FBqrPG3urWBC6VBDhj,58787,80,HTTP,0,(empty),text/json,-,0.053391,T,F,32,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
C9PhXk462nAtKAhiT5,F2nTC91q6JiEs8Gag2,35192,80,HTTP,0,(empty),text/json,-,0.0,T,F,243,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CSe9lw3a6jb4F1Y5b,FvOspPnIJLyLQLXCj,32843,80,HTTP,0,(empty),text/json,-,0.0,T,F,243,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CnHPNi1kqcjfhq4kxk,FIPojCmwe74JR2pbb,34748,80,HTTP,0,(empty),text/json,-,0.0,T,F,243,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CmRlnP3QFRN3B47VX4,FKXscI3MBEfQ11G5Q8,43917,80,HTTP,0,(empty),text/json,-,0.0,T,F,243,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CsONvS3HPQJJQkZnc8,Fsud9h1Nti3X1I5sT5,50611,80,HTTP,0,(empty),text/json,-,0.0,T,F,243,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CzuZP01dfcCgRrK4x1,FW6QdU24snHCHza6Ei,38039,80,HTTP,0,(empty),text/json,-,0.0,T,F,243,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CxE1rtaMNwdfKY3i,FxYRo92xYndqJ3Upw3,48131,80,HTTP,0,(empty),text/json,-,0.0,T,F,243,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
Ca0XyE3CUQfK7KK5Bj,FAMtoB4I2g0Ll4Sos9,39776,80,HTTP,0,(empty),text/json,-,0.0,T,F,243,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CWEpkx2ZmZrRJEuBW5,FQJd3ktwJqvBz840l,47038,80,HTTP,0,(empty),text/json,-,0.0,T,F,243,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CJFKi6mmU4iMyvSr5,Fk5EwP1J0WDw6E2u1e,32830,80,HTTP,0,(empty),text/json,-,0.00593,T,F,2251,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CpdHlnePz0sc6xq9e,FvVOMm4QjL2MPK5Stk,34856,80,HTTP,0,(empty),text/json,-,0.0,T,F,243,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
Cm1abNs1A4p0kTcxc,F9Hxza2GPuw6okXJu6,46739,80,HTTP,0,(empty),text/json,-,0.0,T,F,54,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
C8mi1n2kbEnkjHAnZd,Fhk2vg3rrVcyOPgxol,49385,80,HTTP,0,(empty),text/json,-,0.0,T,F,22,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CdJgVj1le7FeDZ5Xrf,F7z7dAgkcbAQFNlP6,54713,80,HTTP,0,(empty),text/json,-,0.0,T,F,22,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CFftBM1FlMXq2XE5ed,FIyoTa14VeyHIGZru2,44268,80,HTTP,0,(empty),text/json,-,0.003505,T,F,2251,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
COal782Q6Y8dxZKwqf,FV2A8t3HoXYdVXzcxf,45553,80,HTTP,0,(empty),text/json,-,0.0,T,F,22,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CwYQKr4MmPavRW3Zaj,FLMv8P1cpnGNMd0kkh,50858,80,HTTP,0,(empty),text/json,-,0.0,T,F,22,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
C0sZMw4QeRDUUrYqyh,Ftp3Pa15EVdFcvpKPg,44105,80,HTTP,0,(empty),text/json,-,0.0,T,F,22,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CibR1frHwxUjKXPp9,FU8VqS1OBwcbHiP9bj,47330,80,HTTP,0,(empty),text/json,-,0.0,T,F,22,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CxSkym4STKR2eSdYz4,FTIIzF1eD8rjccde0k,43175,80,HTTP,0,(empty),text/json,-,0.0,T,F,22,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
C9OA594BOKafMSdes3,FpRtjb1aEVaNQSa7Y,43214,80,HTTP,0,(empty),text/json,-,0.00362,T,F,2459,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CfUGxdf7fsfgdDIDi,FWxoZN2VGlgEd5GBNh,44718,80,HTTP,0,(empty),text/json,-,0.0,T,F,49,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CCSOOg4dAFp3pr4s4,F7ZyDK3rvhpiJgGuXb,42374,80,HTTP,0,(empty),text/json,-,0.00689,T,F,2459,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
C4mnUqV8a9mFDJYc7,FpGghv3sXnHLnrSmfk,42645,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
C0ksI214QkgDBTUdxc,FrgpnJLsAEbyONawh,55985,80,HTTP,0,(empty),text/json,-,0.0,T,T,21,21,0,0,F,-,-,-,-,-,-,-,HueSwitch
C0ksI214QkgDBTUdxc,FnbSyR2ajVJ93QxbVj,55985,80,HTTP,0,(empty),text/json,-,0.010083,T,F,125,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CX43vx3CqNpHSP6qFj,FrLDhw4gVSRjrzfmna,44112,80,HTTP,0,(empty),text/json,-,0.0,T,T,267,267,0,0,F,-,-,-,-,-,-,-,HueSwitch
CX43vx3CqNpHSP6qFj,FDaquA3O5AydJ9C4Bi,44112,80,HTTP,0,(empty),text/json,-,0.018133,T,F,24,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
C6WV2d368jBlBgaQSe,FA0Eya3aELa4q1nqR1,47520,80,HTTP,0,(empty),text/json,-,0.0,T,T,268,268,0,0,F,-,-,-,-,-,-,-,HueSwitch
C6WV2d368jBlBgaQSe,F0fMsb1NcQ1LnULcVe,47520,80,HTTP,0,(empty),text/json,-,0.023259,T,F,24,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CeSrOO4cvHXn9Q6dd,Fcdy4u1MDS4BDSNUU4,33571,80,HTTP,0,(empty),text/json,-,0.0,T,T,20,20,0,0,F,-,-,-,-,-,-,-,HueSwitch
CeSrOO4cvHXn9Q6dd,FchYPd1KoV4Zu44db3,33571,80,HTTP,0,(empty),text/json,-,0.010195,T,F,124,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
Cn4eEu2hfC4mcNxlqi,FdnPbk2gB9I3T5pnmb,52430,80,HTTP,0,(empty),text/json,-,0.0,T,T,267,267,0,0,F,-,-,-,-,-,-,-,HueSwitch
Cn4eEu2hfC4mcNxlqi,Fzn6oT3kvCM17578g,52430,80,HTTP,0,(empty),text/json,-,0.024037,T,F,24,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
C9yjbu1WrMpxw5RlY4,FZgJnAPWTNceO3MIa,32827,80,HTTP,0,(empty),text/json,-,0.0,T,T,21,21,0,0,F,-,-,-,-,-,-,-,HueSwitch
C9yjbu1WrMpxw5RlY4,FQNwLu2JnnT4Yt12n3,32827,80,HTTP,0,(empty),text/json,-,0.010349,T,F,125,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CBBc8y3mAcSOrju91g,F0d3mk1Shk7MAehuN2,35887,80,HTTP,0,(empty),text/json,-,0.0,T,T,267,267,0,0,F,-,-,-,-,-,-,-,HueSwitch
CBBc8y3mAcSOrju91g,FK8PC578CUHGtMOR1,35887,80,HTTP,0,(empty),text/json,-,0.023823,T,F,24,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CZxcKS1kPtR3c9kiH9,Fc5Kwq3nqxoPmn9Vpf,55474,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CSq7RXbUdJ3YCTDhd,FYEVb63CQW7RBBZu0j,41886,80,HTTP,0,(empty),text/json,-,0.001858,T,F,1638,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CmzgUO25hvwWnlk43d,FwzIwr2LpgH4TZkAOa,58195,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CbwXWu1uIcvZYxO9Y8,FBTfjo3A0JBKG0Smwg,40072,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CBE37j4zG5Z5T1TzY3,FLeKV9s1hN6p8gcE7,50499,80,HTTP,0,(empty),text/json,-,0.0,T,F,49,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
C0pZf626eZE3OLQ3se,FZDkvuqDuT6CBIbT6,39115,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CR3k9L2Rcgp8SuKBE2,FFwnZ33L6VkVniiGCf,57673,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
C7LfWl4q807dJuvkY8,FaL0vz3lUyQjXohxog,53269,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
C4OIMd3RgIglALLBJ3,FR3mp83nMLhWWy0sx7,56123,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
Ct1zfq18gC5yl8vRck,FvyDX22cShtaiKj5vb,41908,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
COQp883gOhKKURrfT4,Fw1TEd2pMBg6XXdSx9,57604,80,HTTP,0,(empty),text/json,-,0.0,T,F,49,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
C0V7T93VvufSgcxFy9,FCBCgN3Hi3Kviw789e,57175,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CGR5c23wmC3Ifa2An2,FROpr317T50GzqRKbc,55014,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CX0uc31l7fTTlrLUP3,FM92j12Wwfeuzusgwh,41983,80,HTTP,0,(empty),text/json,-,0.0,T,F,49,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
C8r2vx3dSoEZaRDAo4,FdAmIs3Ninz89jqlP7,34809,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CYDzuuTErv5luBD8l,FaS5zk16p6VLTTjQna,39382,80,HTTP,0,(empty),text/json,-,0.053448,T,F,32,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
C2yiwy4XCBZ03zFRH,FJiS7PJyxxxxE6AR5,39815,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CfCFc4Kwez39PZOC2,FBrf516Rsr9gW6zji,49285,80,HTTP,0,(empty),text/json,-,0.0,T,T,20,20,0,0,F,-,-,-,-,-,-,-,HueSwitch
CfCFc4Kwez39PZOC2,FhkRh93KtFMHWsk0Rd,49285,80,HTTP,0,(empty),text/json,-,0.01032,T,F,124,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
C65BvQ1VycRg1tNF7c,F21k6BuOXMQg8vK1h,34345,80,HTTP,0,(empty),text/json,-,0.0,T,T,271,271,0,0,F,-,-,-,-,-,-,-,HueSwitch
C65BvQ1VycRg1tNF7c,FQR8dl2ahpehfdGMTl,34345,80,HTTP,0,(empty),text/json,-,0.023857,T,F,24,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CycKRn1i1sciip9VIj,FotFUV22b7TnUFs4dj,51693,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CljUEgnzPuC3svCX3,FIdAq7jpqafwth4c7,35066,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CFQ00FxMl7ZHNcoyl,F5FXHm4tI3JsarrzCc,42834,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CQA0gR1lZH3iOtYcT,F4tSkA2IpfZHIiHBe4,33841,80,HTTP,0,(empty),text/json,-,0.0,T,F,49,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CLW7Fi261hJ5Haq8g,FLFaDn4HYssTbCc7na,60707,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
C8wXuw4olqE88QGkL6,FJyPg8f3XKCGitmZb,54845,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CoWRGP3sBKzxH7gud,FzJB2mRH2tzBrMts2,52214,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
C6RcTg2pY1mMtxRMEi,FBu0ZM3gWG5U8G5K8i,38443,80,HTTP,0,(empty),text/json,-,0.007513,T,F,4099,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CtoLV22y8MJxc9nhMf,FMoq6e4NSteVlo4WX1,46699,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CdJOKVhCAcOnjuuWj,FfXqJy1gY3b6bc9ygl,38511,80,HTTP,0,(empty),text/json,-,0.0,T,F,49,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
C1vPpb3P0l5W0pRnv4,F1yR5G2R6JI2tRcgL5,42157,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CQ4dkW545Stx5or77,F2J8ym28GGSmze8KZf,51266,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CYddb74gjgmVrh6rKg,FhL6K41dmkR7CQHA2e,51169,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CzvyGc4z4IMk6UK2ja,F7CMW71xZPswco206h,37167,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
C6FWtn164l6beSKUG4,Fw0Bia44C9hPO62jn6,60605,80,HTTP,0,(empty),text/json,-,0.0,T,F,49,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CdqX9S1xePQijPPzpl,FQqIlTK5VINV5mrfk,44584,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CHTVlj30nNDbtIHuPc,FvQCi91rxPo8GslBue,34090,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CGda9Q2ESExkz4buGc,F5lIYy2E3zXgR85Dd8,42983,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CO49O42akvFOIhnOK7,FeuBEe4kQB0497FzWf,50042,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CaFlmd2G7YIZCu4XRb,FLsoqb3Vkfq5Ar3s9d,57475,80,HTTP,0,(empty),text/json,-,0.0,T,F,49,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CDUpRFHedahGEFYcg,FT34WQNfbLjU9ldj,38369,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CdaQpb3JgiK1ERyZx,FRqgrv17uQ35hkj9pg,60162,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CboQav3wrKvUiOeSN3,FPuFOjuel4VajELq1,37867,80,HTTP,0,(empty),text/json,-,0.0,T,F,451,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CVZaOs1SAwLHVQ75j6,FPcqlz440IYhUb53P7,55920,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CBL8Zb3vtQx6xVPbc2,FZJPXg4TCvamy0g7gc,35436,80,HTTP,0,(empty),text/json,-,0.0,T,F,49,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CnYINM26XOi8cVUhIb,FoI8m13eA0dCYzHQtf,48771,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CchUfM27VgZanXOZle,FBx4ua1zBEcTiFCJhj,44726,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CcWcFhWoO14uFFvl,F8poVV277hOGVDZ5C4,60554,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CZKn9R2xKzt0UEBiQi,FQBcGt47IQg0AGQrid,32797,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CsCPGa1LPbTee4gOW2,Fbojt54MkukW4eBkHb,42645,80,HTTP,0,(empty),text/json,-,0.0,T,F,49,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
Ce8nheXTHIYlQJge4,FhPnra4ZO5q2I1hyCa,38974,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CYiHg3QGRxkHj3Bgc,FafWpo2M8elqASl43c,53646,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
Cd8IIe4GIq7N3JwuQc,FQcns327YUdfzUiDk,57020,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CJyJnb3MH4p78cy3q5,FGyjqA1JhORj6R20mi,50178,80,HTTP,0,(empty),text/json,-,0.00572,T,F,4142,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CRVlU23anOr2Xs7Cnj,FXfPU8o2tXnnWI8n5,36772,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CgpKb54tOwzNWqegG4,FFS0AB4Jf47bebGofg,38970,80,HTTP,0,(empty),text/json,-,0.0,T,F,49,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CvZXCzssqddkKSfPa,FqLdaD30ca6vnqQBR7,59831,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CiHLXj4BqNdSxNRdse,F4vr8l4oKNhyAiGKH2,38399,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
Cbzv4k3Ma058koL4g,Fmp8q74mdtE8Zz0aBb,48625,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CJZolq4Rpvhuyw0kf7,FN5yLQ16JONyBDqE33,42690,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CWP9giAeYVdyfFXa2,FlKsjW1LlRwCJY7Ov1,59116,80,HTTP,0,(empty),text/json,-,0.0,T,F,49,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CHfEAk4WAJwLLgh2oj,FGlkAV3HVk1aJRoWdc,56828,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CfXWXn4nnEuch5jjQl,FplJnj3oUygfbYitv9,45031,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
C0Mwb14i0iPiu0Xqtj,FycJs215mK0cJ5C4Od,46217,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CUnVJdmPkKYNGBkCk,FvsZBJ3tz4yrX7Hf9l,39090,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
Ce7hS83Pu2UUCUj6u6,FUe8hGnefrfpphbc9,53422,80,HTTP,0,(empty),text/json,-,0.0,T,F,49,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
Cw6KONXivBnQKROP,FfVCLr3uM1Udn2no8,35565,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CnAaN12Qov1skaDym4,FtyU6o26m29Cpxc1xi,50821,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CEpZxG2gw0ZFuy48l,FUvkRd1ogLWTiMLTA,45325,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CUeJxb7nsGwux0Hpf,Fczfxi2tGz8fT9jOG6,60560,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CRC3Id1xDnWROiaTc4,F1Owei2SVAPCV7KUjg,45347,80,HTTP,0,(empty),text/json,-,0.0,T,F,62,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CIqqJiuwTfbaZ6GP9,Fuug9l1bPJ6CgaeGSi,39494,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CofHUC1jmqIvxG3X6i,FyyA4147A8ynNN64le,42314,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CpaqBl4w7Pmj1shyjf,Fs0cRf1qMPvqhQ7kw7,46721,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CN5pG1TBV0rI8Q5Tc,FTFaTx3KLkBwCjhxk1,43918,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CUZNBD2BCDg3eld6H7,FCmVjMRcFp1zzBCXc,58350,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CfN3WV3V18e3ccKQb3,FrhOhy2x9a73wkyvRh,46059,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
