uid,id.orig_p,id.resp_p,trans_depth,method,uri,referrer,version,user_agent,origin,request_body_len,response_body_len,status_code,status_msg,info_code,info_msg,tags,username,password,proxied,orig_fuids,orig_filenames,orig_mime_types,resp_fuids,resp_filenames,resp_mime_types,device
CmYlov1xslHMfARf2i,41909,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,464,200,OK,-,-,(empty),-,-,-,-,-,-,FeH2P93sF0VLojbCS3,-,text/json,HueSwitch
CbdRpb4fz6ut2E0keg,43753,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,464,200,OK,-,-,(empty),-,-,-,-,-,-,FFTiYF4KAWHjtPpdQ1,-,text/json,HueSwitch
CAmhnK2W3IoEPWdB84,49029,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,464,200,OK,-,-,(empty),-,-,-,-,-,-,FITDYMXtLD3TqZrF2,-,text/json,HueSwitch
C7Gv7S36M8rn8eem23,60585,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,464,200,OK,-,-,(empty),-,-,-,-,-,-,FRow063rJQFshUXktb,-,text/json,HueSwitch
Coc3dm3CKUigu8wmI2,49725,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,464,200,OK,-,-,(empty),-,-,-,-,-,-,FzI8Dq2mgnnCOWvm1,-,text/json,HueSwitch
CFBUTAAEAS1hJ0Pkc,57347,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,464,200,OK,-,-,(empty),-,-,-,-,-,-,FgjX9q2arzYhla35vk,-,text/json,HueSwitch
Ch5KKZ1KDIrdQBFzoe,47634,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,464,200,OK,-,-,(empty),-,-,-,-,-,-,FIW7lF3t1K0BwaPAF4,-,text/json,HueSwitch
CguGRB2Ulcwr4hv3Tb,60044,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,464,200,OK,-,-,(empty),-,-,-,-,-,-,FaDB594app8IQoBQn7,-,text/json,HueSwitch
CIRnSF1R83DqrXWMIi,56302,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,464,200,OK,-,-,(empty),-,-,-,-,-,-,FpdNzx3aWcRqrty434,-,text/json,HueSwitch
C4UsZp2SmoEFFfunnd,34903,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,464,200,OK,-,-,(empty),-,-,-,-,-,-,Fs3phj4qbEEobkgPSl,-,text/json,HueSwitch
ChNoQV1tK2AFzBWiG7,37841,80,1,DELETE,/api/1d7a2f22157658516ebbad4748c9f43/sensors/11,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,35,200,OK,-,-,(empty),-,-,-,-,-,-,FZ5MCx01xOIu9PTqd,-,text/json,HueSwitch
CCzuHz34z9ZKb9DNZj,59533,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,243,200,OK,-,-,(empty),-,-,-,-,-,-,FUkA1X3krvBDMeGlue,-,text/json,HueSwitch
CgosvzoWeLOZtTwtl,50071,80,1,DELETE,/api/1d7a2f22157658516ebbad4748c9f43/rules/4,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,32,200,OK,-,-,(empty),-,-,-,-,-,-,FZE5Ob3XhrheAp3zP8,-,text/json,HueSwitch
CFT05e2YZP3m9RoGDc,44378,80,1,DELETE,/api/1d7a2f22157658516ebbad4748c9f43/rules/1,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,32,200,OK,-,-,(empty),-,-,-,-,-,-,F9srUm3r0JbnFTMUe2,-,text/json,HueSwitch
CzEpXh1Uw8G8Gaybz4,44038,80,1,DELETE,/api/1d7a2f22157658516ebbad4748c9f43/rules/2,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,32,200,OK,-,-,(empty),-,-,-,-,-,-,F6mXSy4VFrJAMv6GJf,-,text/json,HueSwitch
Cry9lY28HTPuH1Fvxh,58787,80,1,DELETE,/api/1d7a2f22157658516ebbad4748c9f43/rules/3,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,32,200,OK,-,-,(empty),-,-,-,-,-,-,FBqrPG3urWBC6VBDhj,-,text/json,HueSwitch
C9PhXk462nAtKAhiT5,35192,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,243,200,OK,-,-,(empty),-,-,-,-,-,-,F2nTC91q6JiEs8Gag2,-,text/json,HueSwitch
CSe9lw3a6jb4F1Y5b,32843,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,243,200,OK,-,-,(empty),-,-,-,-,-,-,FvOspPnIJLyLQLXCj,-,text/json,HueSwitch
CnHPNi1kqcjfhq4kxk,34748,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,243,200,OK,-,-,(empty),-,-,-,-,-,-,FIPojCmwe74JR2pbb,-,text/json,HueSwitch
CmRlnP3QFRN3B47VX4,43917,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,243,200,OK,-,-,(empty),-,-,-,-,-,-,FKXscI3MBEfQ11G5Q8,-,text/json,HueSwitch
CsONvS3HPQJJQkZnc8,50611,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,243,200,OK,-,-,(empty),-,-,-,-,-,-,Fsud9h1Nti3X1I5sT5,-,text/json,HueSwitch
CzuZP01dfcCgRrK4x1,38039,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,243,200,OK,-,-,(empty),-,-,-,-,-,-,FW6QdU24snHCHza6Ei,-,text/json,HueSwitch
CxE1rtaMNwdfKY3i,48131,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,243,200,OK,-,-,(empty),-,-,-,-,-,-,FxYRo92xYndqJ3Upw3,-,text/json,HueSwitch
Ca0XyE3CUQfK7KK5Bj,39776,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,243,200,OK,-,-,(empty),-,-,-,-,-,-,FAMtoB4I2g0Ll4Sos9,-,text/json,HueSwitch
CWEpkx2ZmZrRJEuBW5,47038,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,243,200,OK,-,-,(empty),-,-,-,-,-,-,FQJd3ktwJqvBz840l,-,text/json,HueSwitch
CJFKi6mmU4iMyvSr5,32830,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,2251,200,OK,-,-,(empty),-,-,-,-,-,-,Fk5EwP1J0WDw6E2u1e,-,text/json,HueSwitch
CpdHlnePz0sc6xq9e,34856,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,243,200,OK,-,-,(empty),-,-,-,-,-,-,FvVOMm4QjL2MPK5Stk,-,text/json,HueSwitch
Cm1abNs1A4p0kTcxc,46739,80,1,POST,/api/1d7a2f22157658516ebbad4748c9f43/sensors/,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,54,200,OK,-,-,(empty),-,-,-,-,-,-,F9Hxza2GPuw6okXJu6,-,text/json,HueSwitch
C8mi1n2kbEnkjHAnZd,49385,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors/new,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,22,200,OK,-,-,(empty),-,-,-,-,-,-,Fhk2vg3rrVcyOPgxol,-,text/json,HueSwitch
CdJgVj1le7FeDZ5Xrf,54713,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors/new,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,22,200,OK,-,-,(empty),-,-,-,-,-,-,F7z7dAgkcbAQFNlP6,-,text/json,HueSwitch
CFftBM1FlMXq2XE5ed,44268,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,2251,200,OK,-,-,(empty),-,-,-,-,-,-,FIyoTa14VeyHIGZru2,-,text/json,HueSwitch
COal782Q6Y8dxZKwqf,45553,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors/new,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,22,200,OK,-,-,(empty),-,-,-,-,-,-,FV2A8t3HoXYdVXzcxf,-,text/json,HueSwitch
CwYQKr4MmPavRW3Zaj,50858,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors/new,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,22,200,OK,-,-,(empty),-,-,-,-,-,-,FLMv8P1cpnGNMd0kkh,-,text/json,HueSwitch
C0sZMw4QeRDUUrYqyh,44105,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors/new,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,22,200,OK,-,-,(empty),-,-,-,-,-,-,Ftp3Pa15EVdFcvpKPg,-,text/json,HueSwitch
CibR1frHwxUjKXPp9,47330,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors/new,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,22,200,OK,-,-,(empty),-,-,-,-,-,-,FU8VqS1OBwcbHiP9bj,-,text/json,HueSwitch
CxSkym4STKR2eSdYz4,43175,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors/new,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,22,200,OK,-,-,(empty),-,-,-,-,-,-,FTIIzF1eD8rjccde0k,-,text/json,HueSwitch
C9OA594BOKafMSdes3,43214,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,2459,200,OK,-,-,(empty),-,-,-,-,-,-,FpRtjb1aEVaNQSa7Y,-,text/json,HueSwitch
CfUGxdf7fsfgdDIDi,44718,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors/new,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,49,200,OK,-,-,(empty),-,-,-,-,-,-,FWxoZN2VGlgEd5GBNh,-,text/json,HueSwitch
CCSOOg4dAFp3pr4s4,42374,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,2459,200,OK,-,-,(empty),-,-,-,-,-,-,F7ZyDK3rvhpiJgGuXb,-,text/json,HueSwitch
C4mnUqV8a9mFDJYc7,42645,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,451,200,OK,-,-,(empty),-,-,-,-,-,-,FpGghv3sXnHLnrSmfk,-,text/json,HueSwitch
C0ksI214QkgDBTUdxc,55985,80,1,PUT,/api/1d7a2f22157658516ebbad4748c9f43/scenes/d3de32ec0-on-0/lights/1/state,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,21,125,200,OK,-,-,(empty),-,-,-,FrgpnJLsAEbyONawh,-,text/json,FnbSyR2ajVJ93QxbVj,-,text/json,HueSwitch
CX43vx3CqNpHSP6qFj,44112,80,1,POST,/api/1d7a2f22157658516ebbad4748c9f43/rules/,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,267,24,200,OK,-,-,(empty),-,-,-,FrLDhw4gVSRjrzfmna,-,text/json,FDaquA3O5AydJ9C4Bi,-,text/json,HueSwitch
C6WV2d368jBlBgaQSe,47520,80,1,POST,/api/1d7a2f22157658516ebbad4748c9f43/rules/,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,268,24,200,OK,-,-,(empty),-,-,-,FA0Eya3aELa4q1nqR1,-,text/json,F0fMsb1NcQ1LnULcVe,-,text/json,HueSwitch
CeSrOO4cvHXn9Q6dd,33571,80,1,PUT,/api/1d7a2f22157658516ebbad4748c9f43/scenes/71570565e-on-0/lights/1/state,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,20,124,200,OK,-,-,(empty),-,-,-,Fcdy4u1MDS4BDSNUU4,-,text/json,FchYPd1KoV4Zu44db3,-,text/json,HueSwitch
Cn4eEu2hfC4mcNxlqi,52430,80,1,POST,/api/1d7a2f22157658516ebbad4748c9f43/rules/,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,267,24,200,OK,-,-,(empty),-,-,-,FdnPbk2gB9I3T5pnmb,-,text/json,Fzn6oT3kvCM17578g,-,text/json,HueSwitch
C9yjbu1WrMpxw5RlY4,32827,80,1,PUT,/api/1d7a2f22157658516ebbad4748c9f43/scenes/9c59ccfd4-on-0/lights/1/state,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,21,125,200,OK,-,-,(empty),-,-,-,FZgJnAPWTNceO3MIa,-,text/json,FQNwLu2JnnT4Yt12n3,-,text/json,HueSwitch
CBBc8y3mAcSOrju91g,35887,80,1,POST,/api/1d7a2f22157658516ebbad4748c9f43/rules/,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,267,24,200,OK,-,-,(empty),-,-,-,F0d3mk1Shk7MAehuN2,-,text/json,FK8PC578CUHGtMOR1,-,text/json,HueSwitch
CZxcKS1kPtR3c9kiH9,55474,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,451,200,OK,-,-,(empty),-,-,-,-,-,-,Fc5Kwq3nqxoPmn9Vpf,-,text/json,HueSwitch
CSq7RXbUdJ3YCTDhd,41886,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/rules,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,1638,200,OK,-,-,(empty),-,-,-,-,-,-,FYEVb63CQW7RBBZu0j,-,text/json,HueSwitch
CmzgUO25hvwWnlk43d,58195,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,451,200,OK,-,-,(empty),-,-,-,-,-,-,FwzIwr2LpgH4TZkAOa,-,text/json,HueSwitch
CbwXWu1uIcvZYxO9Y8,40072,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,451,200,OK,-,-,(empty),-,-,-,-,-,-,FBTfjo3A0JBKG0Smwg,-,text/json,HueSwitch
CBE37j4zG5Z5T1TzY3,50499,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors/new,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,49,200,OK,-,-,(empty),-,-,-,-,-,-,FLeKV9s1hN6p8gcE7,-,text/json,HueSwitch
C0pZf626eZE3OLQ3se,39115,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,451,200,OK,-,-,(empty),-,-,-,-,-,-,FZDkvuqDuT6CBIbT6,-,text/json,HueSwitch
CR3k9L2Rcgp8SuKBE2,57673,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,451,200,OK,-,-,(empty),-,-,-,-,-,-,FFwnZ33L6VkVniiGCf,-,text/json,HueSwitch
C7LfWl4q807dJuvkY8,53269,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,451,200,OK,-,-,(empty),-,-,-,-,-,-,FaL0vz3lUyQjXohxog,-,text/json,HueSwitch
C4OIMd3RgIglALLBJ3,56123,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,451,200,OK,-,-,(empty),-,-,-,-,-,-,FR3mp83nMLhWWy0sx7,-,text/json,HueSwitch
Ct1zfq18gC5yl8vRck,41908,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,451,200,OK,-,-,(empty),-,-,-,-,-,-,FvyDX22cShtaiKj5vb,-,text/json,HueSwitch
COQp883gOhKKURrfT4,57604,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors/new,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,49,200,OK,-,-,(empty),-,-,-,-,-,-,Fw1TEd2pMBg6XXdSx9,-,text/json,HueSwitch
C0V7T93VvufSgcxFy9,57175,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,451,200,OK,-,-,(empty),-,-,-,-,-,-,FCBCgN3Hi3Kviw789e,-,text/json,HueSwitch
CGR5c23wmC3Ifa2An2,55014,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,451,200,OK,-,-,(empty),-,-,-,-,-,-,FROpr317T50GzqRKbc,-,text/json,HueSwitch
CX0uc31l7fTTlrLUP3,41983,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors/new,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,49,200,OK,-,-,(empty),-,-,-,-,-,-,FM92j12Wwfeuzusgwh,-,text/json,HueSwitch
C8r2vx3dSoEZaRDAo4,34809,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,451,200,OK,-,-,(empty),-,-,-,-,-,-,FdAmIs3Ninz89jqlP7,-,text/json,HueSwitch
CYDzuuTErv5luBD8l,39382,80,1,DELETE,/api/1d7a2f22157658516ebbad4748c9f43/rules/3,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,32,200,OK,-,-,(empty),-,-,-,-,-,-,FaS5zk16p6VLTTjQna,-,text/json,HueSwitch
C2yiwy4XCBZ03zFRH,39815,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,451,200,OK,-,-,(empty),-,-,-,-,-,-,FJiS7PJyxxxxE6AR5,-,text/json,HueSwitch
CfCFc4Kwez39PZOC2,49285,80,1,PUT,/api/1d7a2f22157658516ebbad4748c9f43/scenes/1844cf008-on-0/lights/1/state,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,20,124,200,OK,-,-,(empty),-,-,-,FBrf516Rsr9gW6zji,-,text/json,FhkRh93KtFMHWsk0Rd,-,text/json,HueSwitch
C65BvQ1VycRg1tNF7c,34345,80,1,POST,/api/1d7a2f22157658516ebbad4748c9f43/rules/,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,271,24,200,OK,-,-,(empty),-,-,-,F21k6BuOXMQg8vK1h,-,text/json,FQR8dl2ahpehfdGMTl,-,text/json,HueSwitch
CycKRn1i1sciip9VIj,51693,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,451,200,OK,-,-,(empty),-,-,-,-,-,-,FotFUV22b7TnUFs4dj,-,text/json,HueSwitch
CljUEgnzPuC3svCX3,35066,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,451,200,OK,-,-,(empty),-,-,-,-,-,-,FIdAq7jpqafwth4c7,-,text/json,HueSwitch
CFQ00FxMl7ZHNcoyl,42834,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,451,200,OK,-,-,(empty),-,-,-,-,-,-,F5FXHm4tI3JsarrzCc,-,text/json,HueSwitch
