uid,id.orig_p,id.resp_p,version,cipher,curve,server_name,resumed,last_alert,next_protocol,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,device
CYpMUy4AQ04CSvbev9,37705,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,-,F,-,-,T,CsxknGIti,"f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkHomeHub
CGfZ7q4lJBoLaCcVic,37706,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,-,-,T,-,-,T,CsiI,-,-,-,D-LinkHomeHub
C8Eewb2BkBHH5oKiWh,50669,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,-,F,-,-,T,CsxknGIti,"f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkHomeHub
Cu8kHX2HruKNukQjol,3961,8443,TLSv10,TLS_RSA_WITH_AES_256_CBC_SHA,-,api.xbcs.net,F,-,-,T,CsxnGIi,"5497f91aeb7ee7281bd807116ffbdf7791c7850085dc74201c972a4c5fbd4979,973a41276ffd01e027a2aad49e34c37846d3e976ff6a620b6712e33832041aa6,3a2fbe92891e57fe05d57087f48e730f17e5a5f53ef403d618e5b74d7a7e6ecb,c3846bf24b9e93ca64274c0ec67c1ecc5e024ffcacd2d74019350e81fe546ae4",(empty),T,WeMoInsightSwitch2
CxlG7y1ZcoeZc61eCe,3123,8443,TLSv10,TLS_RSA_WITH_AES_256_CBC_SHA,-,api.xbcs.net,F,-,-,T,CsxnGIi,"5497f91aeb7ee7281bd807116ffbdf7791c7850085dc74201c972a4c5fbd4979,973a41276ffd01e027a2aad49e34c37846d3e976ff6a620b6712e33832041aa6,3a2fbe92891e57fe05d57087f48e730f17e5a5f53ef403d618e5b74d7a7e6ecb,c3846bf24b9e93ca64274c0ec67c1ecc5e024ffcacd2d74019350e81fe546ae4",(empty),T,WeMoInsightSwitch2
CZpuev3qJNbJ6jm4hl,3689,8443,TLSv10,TLS_RSA_WITH_AES_256_CBC_SHA,-,api.xbcs.net,F,-,-,T,CsxnGIi,"5497f91aeb7ee7281bd807116ffbdf7791c7850085dc74201c972a4c5fbd4979,973a41276ffd01e027a2aad49e34c37846d3e976ff6a620b6712e33832041aa6,3a2fbe92891e57fe05d57087f48e730f17e5a5f53ef403d618e5b74d7a7e6ecb,c3846bf24b9e93ca64274c0ec67c1ecc5e024ffcacd2d74019350e81fe546ae4",(empty),T,WeMoInsightSwitch2
CWHy4w2mfGgHjrBZWa,3131,443,TLSv10,TLS_DHE_RSA_WITH_AES_128_CBC_SHA,-,insight.lswf.net,F,-,-,T,CsxknGIi,"e536fd6c918ac171f603a7d21efa20942355f21a878bab40ceaa763c2b91db5e,973a41276ffd01e027a2aad49e34c37846d3e976ff6a620b6712e33832041aa6,3a2fbe92891e57fe05d57087f48e730f17e5a5f53ef403d618e5b74d7a7e6ecb,c3846bf24b9e93ca64274c0ec67c1ecc5e024ffcacd2d74019350e81fe546ae4",(empty),T,WeMoInsightSwitch2
CCogrI1o8Zqv3mMsa6,3704,8443,TLSv10,TLS_RSA_WITH_AES_256_CBC_SHA,-,api.xbcs.net,F,-,-,T,CsxnGIi,"5497f91aeb7ee7281bd807116ffbdf7791c7850085dc74201c972a4c5fbd4979,973a41276ffd01e027a2aad49e34c37846d3e976ff6a620b6712e33832041aa6,3a2fbe92891e57fe05d57087f48e730f17e5a5f53ef403d618e5b74d7a7e6ecb,c3846bf24b9e93ca64274c0ec67c1ecc5e024ffcacd2d74019350e81fe546ae4",(empty),T,WeMoInsightSwitch2
C7r8FBV9vbEYywgv1,3734,8443,TLSv10,TLS_RSA_WITH_AES_256_CBC_SHA,-,api.xbcs.net,F,-,-,T,CsxnGIi,"5497f91aeb7ee7281bd807116ffbdf7791c7850085dc74201c972a4c5fbd4979,973a41276ffd01e027a2aad49e34c37846d3e976ff6a620b6712e33832041aa6,3a2fbe92891e57fe05d57087f48e730f17e5a5f53ef403d618e5b74d7a7e6ecb,c3846bf24b9e93ca64274c0ec67c1ecc5e024ffcacd2d74019350e81fe546ae4",(empty),T,WeMoSwitch
Cu1z593xkKJ9eUvpO,3541,8443,TLSv10,TLS_RSA_WITH_AES_256_CBC_SHA,-,api.xbcs.net,F,-,-,T,CsxnGIi,"5497f91aeb7ee7281bd807116ffbdf7791c7850085dc74201c972a4c5fbd4979,973a41276ffd01e027a2aad49e34c37846d3e976ff6a620b6712e33832041aa6,3a2fbe92891e57fe05d57087f48e730f17e5a5f53ef403d618e5b74d7a7e6ecb,c3846bf24b9e93ca64274c0ec67c1ecc5e024ffcacd2d74019350e81fe546ae4",(empty),T,WeMoSwitch
C3sgvL3RyoKuzTRXw6,3756,8443,TLSv10,TLS_RSA_WITH_AES_256_CBC_SHA,-,api.xbcs.net,F,-,-,T,CsxnGIi,"5497f91aeb7ee7281bd807116ffbdf7791c7850085dc74201c972a4c5fbd4979,973a41276ffd01e027a2aad49e34c37846d3e976ff6a620b6712e33832041aa6,3a2fbe92891e57fe05d57087f48e730f17e5a5f53ef403d618e5b74d7a7e6ecb,c3846bf24b9e93ca64274c0ec67c1ecc5e024ffcacd2d74019350e81fe546ae4",(empty),T,WeMoSwitch
CMscxj3kGHOhsusH0e,56830,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,-,-,T,-,-,T,CsiI,-,-,-,D-LinkDoorSensor
C68BQC1zsaOP1eSrL2,56840,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,-,-,T,-,-,T,CsiI,-,-,-,D-LinkDoorSensor
C6jN7w3gyZ48epi6u2,56846,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,-,-,T,-,-,T,CsiI,-,-,-,D-LinkDoorSensor
CNQ0Dn9Yum84zL2pc,41472,443,TLSv10,TLS_RSA_WITH_AES_256_CBC_SHA,-,-,F,-,-,T,CsxnGIi,"ef8f0e800409212e051937fcdd3f7fa5a18d9dd8b46f283e872f53100d77a10d,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkCam
CR76zjXyx4t4QtXVe,41412,443,TLSv10,TLS_RSA_WITH_AES_256_CBC_SHA,-,-,F,-,-,T,CsxnGIi,"ef8f0e800409212e051937fcdd3f7fa5a18d9dd8b46f283e872f53100d77a10d,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkCam
CwsiQQ2RJ0RtmmD1ub,54998,443,TLSv10,TLS_RSA_WITH_AES_256_CBC_SHA,-,-,F,-,-,T,CsxnGIi,"ef8f0e800409212e051937fcdd3f7fa5a18d9dd8b46f283e872f53100d77a10d,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkCam
C37Opd1VFIkaV2S93e,4442,8443,TLSv10,TLS_RSA_WITH_AES_256_CBC_SHA,-,api.xbcs.net,F,-,-,T,CsxnGIi,"5497f91aeb7ee7281bd807116ffbdf7791c7850085dc74201c972a4c5fbd4979,973a41276ffd01e027a2aad49e34c37846d3e976ff6a620b6712e33832041aa6,3a2fbe92891e57fe05d57087f48e730f17e5a5f53ef403d618e5b74d7a7e6ecb,c3846bf24b9e93ca64274c0ec67c1ecc5e024ffcacd2d74019350e81fe546ae4",(empty),T,WeMoLink
C6xW2423YphtEUf77,3565,8443,TLSv10,TLS_RSA_WITH_AES_256_CBC_SHA,-,api.xbcs.net,F,-,-,T,CsxnGIi,"5497f91aeb7ee7281bd807116ffbdf7791c7850085dc74201c972a4c5fbd4979,973a41276ffd01e027a2aad49e34c37846d3e976ff6a620b6712e33832041aa6,3a2fbe92891e57fe05d57087f48e730f17e5a5f53ef403d618e5b74d7a7e6ecb,c3846bf24b9e93ca64274c0ec67c1ecc5e024ffcacd2d74019350e81fe546ae4",(empty),T,WeMoLink
CaCCOE4XDc5ejVW4vg,3854,8443,TLSv10,TLS_RSA_WITH_AES_256_CBC_SHA,-,api.xbcs.net,F,-,-,T,CsxnGIi,"5497f91aeb7ee7281bd807116ffbdf7791c7850085dc74201c972a4c5fbd4979,973a41276ffd01e027a2aad49e34c37846d3e976ff6a620b6712e33832041aa6,3a2fbe92891e57fe05d57087f48e730f17e5a5f53ef403d618e5b74d7a7e6ecb,c3846bf24b9e93ca64274c0ec67c1ecc5e024ffcacd2d74019350e81fe546ae4",(empty),T,WeMoLink
CKgWOQ35Yz19p1lPE5,3380,8443,TLSv10,TLS_RSA_WITH_AES_256_CBC_SHA,-,api.xbcs.net,F,-,-,T,CsxnGIi,"5497f91aeb7ee7281bd807116ffbdf7791c7850085dc74201c972a4c5fbd4979,973a41276ffd01e027a2aad49e34c37846d3e976ff6a620b6712e33832041aa6,3a2fbe92891e57fe05d57087f48e730f17e5a5f53ef403d618e5b74d7a7e6ecb,c3846bf24b9e93ca64274c0ec67c1ecc5e024ffcacd2d74019350e81fe546ae4",(empty),T,WeMoLink
C7N9yG4iD9YgSRt6ek,3121,8443,TLSv10,TLS_RSA_WITH_AES_256_CBC_SHA,-,api.xbcs.net,F,-,-,T,CsxnGIi,"5497f91aeb7ee7281bd807116ffbdf7791c7850085dc74201c972a4c5fbd4979,973a41276ffd01e027a2aad49e34c37846d3e976ff6a620b6712e33832041aa6,3a2fbe92891e57fe05d57087f48e730f17e5a5f53ef403d618e5b74d7a7e6ecb,c3846bf24b9e93ca64274c0ec67c1ecc5e024ffcacd2d74019350e81fe546ae4",(empty),T,WeMoLink
CGt7UWhXVB4VUcKmf,3522,8443,TLSv10,TLS_RSA_WITH_AES_256_CBC_SHA,-,api.xbcs.net,F,-,-,T,CsxnGIi,"5497f91aeb7ee7281bd807116ffbdf7791c7850085dc74201c972a4c5fbd4979,973a41276ffd01e027a2aad49e34c37846d3e976ff6a620b6712e33832041aa6,3a2fbe92891e57fe05d57087f48e730f17e5a5f53ef403d618e5b74d7a7e6ecb,c3846bf24b9e93ca64274c0ec67c1ecc5e024ffcacd2d74019350e81fe546ae4",(empty),T,WeMoLink
CUpg3z5fIf3jE3kh6,48959,50443,TLSv10,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,secp256r1,-,F,-,-,T,CsxknGIti,"11076af99ceca46335fafa93ef2e00a4604d9084cde50a35eccb5b7ee2af8e50,eae72eb454bf6c3977ebd289e970b2f5282949190093d0d26f98d0f0d6a9cf17",(empty),-,TP-LinkPlugHS110
C3feBq3VWKKSWU4zMj,40313,50443,TLSv10,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,secp256r1,-,F,-,-,T,CsxknGIti,"11076af99ceca46335fafa93ef2e00a4604d9084cde50a35eccb5b7ee2af8e50,eae72eb454bf6c3977ebd289e970b2f5282949190093d0d26f98d0f0d6a9cf17",(empty),-,TP-LinkPlugHS100
C84PBt2O54MrKzkPZj,39106,50443,TLSv10,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,secp256r1,-,F,-,-,T,CsxknGIti,"11076af99ceca46335fafa93ef2e00a4604d9084cde50a35eccb5b7ee2af8e50,eae72eb454bf6c3977ebd289e970b2f5282949190093d0d26f98d0f0d6a9cf17",(empty),-,TP-LinkPlugHS100
CJurrCq1DByM4FLM1,57336,443,TLSv10,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,secp256r1,-,F,-,-,T,CsxknGIti,"f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkWaterSensor
CgY8p39bREMiaNsp3,57338,443,TLSv10,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,secp256r1,-,F,-,-,T,CsxknGIti,"f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkWaterSensor
CBmu1H3BQuwCGrhu3h,57339,443,TLSv10,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,secp256r1,-,F,-,-,T,CsxknGIti,"f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkWaterSensor
Cuomo22VAMjbpIQzJj,52585,443,TLSv10,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,secp256r1,-,F,-,-,T,CsxknGIti,"f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkWaterSensor
Cnv0Z7INgMtBWHLl5,52587,443,TLSv10,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,secp256r1,-,F,-,-,T,CsxknGIti,"f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkWaterSensor
C1poNJ3tBIKtXeVOt7,57346,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,-,F,-,-,T,CsxknGIti,"f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkWaterSensor
C8yZPG1FSjPYrC9Sv5,57347,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,-,-,T,-,-,T,CsiI,-,-,-,D-LinkWaterSensor
Csxaii3f4HHYHtgK17,34831,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,-,F,-,-,T,CsxknGIti,"f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkWaterSensor
CHwhNa2L4HJVSk6Aw1,58514,443,TLSv10,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,secp256r1,-,F,-,-,T,CsxknGIti,"f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkSwitch
CGMz2G2uyhi7VLkl2k,58516,443,TLSv10,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,secp256r1,-,F,-,-,T,CsxknGIti,"f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkSwitch
CFUsMz2XvxyIhW9Dn1,58517,443,TLSv10,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,secp256r1,-,F,-,-,T,CsxknGIti,"f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkSwitch
CCSv432gmgDP9m8YP3,43132,443,TLSv10,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,secp256r1,-,F,-,-,T,CsxknGIti,"f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkSwitch
C6acuo3HDAthYRBvp3,46950,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,-,F,-,-,T,CsxknGIti,"f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkSwitch
CrcI4P257VakSExQDl,46951,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,-,-,T,-,-,T,CsiI,-,-,-,D-LinkSwitch
C3ICf94kav0LM0lgc3,50381,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,-,F,-,-,T,CsxknGIti,"f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkSwitch
CRNkG13KeRUHoOcydc,50382,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,-,-,T,-,-,T,CsiI,-,-,-,D-LinkSwitch
CqPvzw1HewmC8lAuza,45343,443,TLSv10,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,secp256r1,-,F,-,-,T,CsxknGIti,"f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkSensor
CgaG0R7KyjXXvJBW7,45345,443,TLSv10,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,secp256r1,-,F,-,-,T,CsxknGIti,"f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkSensor
CMQvt840GmhAX6vBii,45346,443,TLSv10,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,secp256r1,-,F,-,-,T,CsxknGIti,"f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkSensor
C3tEep1iyz63tBDKnc,48692,443,TLSv10,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,secp256r1,-,F,-,-,T,CsxknGIti,"f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkSensor
CJy2zp3XH6BeT6Yrpk,48693,443,TLSv10,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,secp256r1,-,F,-,-,T,CsxknGIti,"f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkSensor
CUHhXd1rxCracL32R2,38107,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,-,F,-,-,T,CsxknGIti,"f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkSensor
CZwCiV2w69jmQu9G39,38108,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,-,-,T,-,-,T,CsiI,-,-,-,D-LinkSensor
CcbCbC4uAwAQyOy1q2,33549,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,secp256r1,-,F,-,-,T,CsxknGIti,"f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkSensor
CuTrm814aLSzd0Cta,3518,8443,TLSv10,TLS_RSA_WITH_AES_256_CBC_SHA,-,api.xbcs.net,F,-,-,T,CsxnGIi,"5497f91aeb7ee7281bd807116ffbdf7791c7850085dc74201c972a4c5fbd4979,973a41276ffd01e027a2aad49e34c37846d3e976ff6a620b6712e33832041aa6,3a2fbe92891e57fe05d57087f48e730f17e5a5f53ef403d618e5b74d7a7e6ecb,c3846bf24b9e93ca64274c0ec67c1ecc5e024ffcacd2d74019350e81fe546ae4",(empty),T,WeMoInsightSwitch
CEznhx4gVrZzBXSRDj,4383,8443,TLSv10,TLS_RSA_WITH_AES_256_CBC_SHA,-,api.xbcs.net,F,-,-,T,CsxnGIi,"5497f91aeb7ee7281bd807116ffbdf7791c7850085dc74201c972a4c5fbd4979,973a41276ffd01e027a2aad49e34c37846d3e976ff6a620b6712e33832041aa6,3a2fbe92891e57fe05d57087f48e730f17e5a5f53ef403d618e5b74d7a7e6ecb,c3846bf24b9e93ca64274c0ec67c1ecc5e024ffcacd2d74019350e81fe546ae4",(empty),T,WeMoInsightSwitch
C8c1kG4GwlETqbhrej,3535,8443,TLSv10,TLS_RSA_WITH_AES_256_CBC_SHA,-,api.xbcs.net,F,-,-,T,CsxnGIi,"5497f91aeb7ee7281bd807116ffbdf7791c7850085dc74201c972a4c5fbd4979,973a41276ffd01e027a2aad49e34c37846d3e976ff6a620b6712e33832041aa6,3a2fbe92891e57fe05d57087f48e730f17e5a5f53ef403d618e5b74d7a7e6ecb,c3846bf24b9e93ca64274c0ec67c1ecc5e024ffcacd2d74019350e81fe546ae4",(empty),T,WeMoInsightSwitch
CabR0s2GLXNyrACtjk,50110,443,TLSv10,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,secp256r1,-,F,-,-,T,CsxknGIti,"f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkSiren
