uid,files_fuid,files_id.orig_p,files_id.resp_p,files_source,files_depth,files_analyzers,files_mime_type,files_filename,files_duration,files_local_orig,files_is_orig,files_seen_bytes,files_total_bytes,files_missing_bytes,files_overflow_bytes,files_timedout,files_parent_fuid,files_md5,files_sha1,files_sha256,files_extracted,files_extracted_cutoff,files_extracted_size,http_id.orig_p,http_id.resp_p,http_trans_depth,http_method,http_uri,http_referrer,http_version,http_user_agent,http_origin,http_request_body_len,http_response_body_len,http_status_code,http_status_msg,http_info_code,http_info_msg,http_tags,http_username,http_password,http_proxied,http_orig_fuids,http_orig_filenames,http_orig_mime_types,http_resp_fuids,http_resp_filenames,http_resp_mime_types,conn_id.orig_p,conn_id.resp_p,conn_proto,conn_service,conn_duration,conn_orig_bytes,conn_resp_bytes,conn_conn_state,conn_local_orig,conn_local_resp,conn_missed_bytes,conn_history,conn_orig_pkts,conn_orig_ip_bytes,conn_resp_pkts,conn_resp_ip_bytes,conn_tunnel_parents,conn_ip_proto,dns_id.orig_p,dns_id.resp_p,dns_proto,dns_trans_id,dns_rtt,dns_query,dns_qclass,dns_qclass_name,dns_qtype,dns_qtype_name,dns_rcode,dns_rcode_name,dns_AA,dns_TC,dns_RD,dns_RA,dns_Z,dns_answers,dns_TTLs,dns_rejected,dns_opcode,dns_opcode_name,ssl_id.orig_p,ssl_id.resp_p,ssl_version,ssl_cipher,ssl_curve,ssl_server_name,ssl_resumed,ssl_last_alert,ssl_next_protocol,ssl_established,ssl_ssl_history,ssl_cert_chain_fps,ssl_client_cert_chain_fps,ssl_sni_matches_cert,weird_id.orig_p,weird_id.resp_p,weird_name,weird_addl,weird_notice,weird_peer,weird_source,ntp_id.orig_p,ntp_id.resp_p,ntp_version,ntp_mode,ntp_stratum,ntp_poll,ntp_precision,ntp_root_delay,ntp_root_disp,ntp_ref_id,ntp_ref_time,ntp_org_time,ntp_rec_time,ntp_xmt_time,ntp_num_exts,device
C1oqkISfTkXG3Bfug,FOm6VZ1M1rwSdile7k,60366.0,80.0,HTTP,0.0,(empty),-,-,0.0,T,T,48.0,48,0.0,0.0,F,-,-,-,-,-,-,-,60366.0,80.0,1.0,POST,/scale/upload,-,1.1,-,-,48.0,104.0,200,OK,-,-,(empty),-,-,-,FOm6VZ1M1rwSdile7k,-,-,F0VJ4V20UjNfZkSIzb,-,-,60366.0,80.0,tcp,http,0.299975,194,725,SF,T,F,0.0,ShADadFf,7.0,494.0,6.0,973.0,-,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aria
C1rVLH1rdm6q5P4gDa,FZF9IV193p5DhXtfs5,40651.0,80.0,HTTP,0.0,(empty),text/plain,-,0.0,T,T,128.0,-,0.0,0.0,F,-,-,-,-,-,-,-,40651.0,80.0,1.0,POST,/queue/getmessage?duration=180000&interval=25&sso=91c2b44e0cc2e21ed49576ab6732c15b5c8a86e5f4211feb4a1e9a086dddf9d2663e7c6b035a33b43dd98c6168842c6bb4db90d7a83e0ad2cd8bf0010e8814e9836421ead32d055f3e05c80ba69c0955770db808bd9918cf1e9f2eb8ad0b227a626246c01274a1ddbc7663ca1a01aec93f5a829577f38c832649cf73f72a0c0d2fbe75ecf4adb27e0fe3bf0d10027b873f056baefe608d4d85f0fd8413d0a6ed3afe12cb943d5b384576983a1fc606ce661ee9090c3bfde87fa5e66716ac060b&i=d9d57b7e6e7f69e58df7f955c46eb59d&auth=1111e94b0040095fdcd7bbd34054d7446f3af5ae,-,1.1,-,-,128.0,32.0,200,OK,-,-,(empty),-,-,-,FZF9IV193p5DhXtfs5,-,text/plain,FETfYD1L9wPqq5FIVd,-,text/plain,40651.0,80.0,tcp,http,0.053536,792,255,SF,T,F,0.0,ShADadfF,6.0,1112.0,6.0,575.0,-,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HueBridge
C1vPpb3P0l5W0pRnv4,F1yR5G2R6JI2tRcgL5,42157.0,80.0,HTTP,0.0,(empty),text/json,-,0.0,T,F,451.0,-,0.0,0.0,F,-,-,-,-,-,-,-,42157.0,80.0,1.0,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0.0,451.0,200,OK,-,-,(empty),-,-,-,-,-,-,F1yR5G2R6JI2tRcgL5,-,text/json,42157.0,80.0,tcp,http,0.027153,201,872,SF,T,T,0.0,ShADadfF,6.0,521.0,5.0,1140.0,-,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HueSwitch
C1yhlA4ruHYqf5WL41,FpFdXz3zv86PMkCJk3,40633.0,80.0,HTTP,0.0,(empty),text/plain,-,0.0,T,T,128.0,-,0.0,0.0,F,-,-,-,-,-,-,-,40633.0,80.0,1.0,POST,/queue/getmessage?duration=180000&interval=25&sso=91c2b44e0cc2e21ed49576ab6732c15b5c8a86e5f4211feb4a1e9a086dddf9d2663e7c6b035a33b43dd98c6168842c6bb4db90d7a83e0ad2cd8bf0010e8814e9836421ead32d055f3e05c80ba69c0955770db808bd9918cf1e9f2eb8ad0b227a626246c01274a1ddbc7663ca1a01aec93f5a829577f38c832649cf73f72a0c0d2fbe75ecf4adb27e0fe3bf0d10027b873f056baefe608d4d85f0fd8413d0a6ed3afe12cb943d5b384576983a1fc606ce661ee9090c3bfde87fa5e66716ac060b&i=e595783b29216f2eb20f4a5be20f4a17&auth=cd37c151a2f80503442358ee189e8e65d1a5876f,-,1.1,-,-,128.0,32.0,200,OK,-,-,(empty),-,-,-,FpFdXz3zv86PMkCJk3,-,text/plain,Fk1EWR1Ux9rVOd7KQ5,-,text/plain,40633.0,80.0,tcp,http,0.248248,792,254,SF,T,F,0.0,ShADadFf,7.0,1164.0,6.0,574.0,-,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HueBridge
C2LVz14hGD0xZwkkGg,FLHkxe271KamyO1JW5,36845.0,80.0,HTTP,0.0,(empty),-,-,0.0,T,T,1120.0,1120,0.0,0.0,F,-,-,-,-,-,-,-,36845.0,80.0,1.0,POST,/DcpRequestHandler/index.ashx,-,1.1,-,-,1120.0,560.0,200,OK,-,-,(empty),-,-,-,FLHkxe271KamyO1JW5,-,-,F6TLl413WNnsHjaRIl,-,-,36845.0,80.0,tcp,http,0.091164,1718,871,SF,T,F,0.0,ShADadfF,6.0,2038.0,6.0,1191.0,-,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HueBridge
C2OwoJ2VyrRj2mngme,F6tBtm5VXX2QzoC7g,34354.0,10000.0,HTTP,0.0,(empty),application/xml,-,0.0,T,T,212.0,212,0.0,0.0,F,-,-,-,-,-,-,-,34354.0,10000.0,1.0,POST,/smartplug.cgi,-,1.1,-,-,212.0,217.0,200,OK,-,-,(empty),admin,-,-,F6tBtm5VXX2QzoC7g,-,application/xml,FXpEbnRvO8pM6Oude,-,application/xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EdimaxPlug2101W
C2qXdo4CGMRTsG0AEh,FySve14z2DsNoxylLl,36681.0,80.0,HTTP,0.0,(empty),application/x-executable,-,3.343961,F,F,196060.0,196060,0.0,0.0,F,-,-,-,-,-,-,-,36681.0,80.0,1.0,GET,/static-us-west.dch.dlink.com/firmware/agent/DSP-W215/D-Link-DSP-W215-1.7.5-BX,-,1.1,Wget/1.13 (linux-uclibc),-,0.0,196060.0,200,OK,-,-,(empty),-,-,-,-,-,-,FySve14z2DsNoxylLl,-,application/x-executable,36681.0,80.0,tcp,http,3.982200,204,196429,SF,T,F,0.0,ShADadtFf,87.0,3716.0,148.0,202730.0,-,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-LinkSwitch
C2yiwy4XCBZ03zFRH,FJiS7PJyxxxxE6AR5,39815.0,80.0,HTTP,0.0,(empty),text/json,-,0.0,T,F,451.0,-,0.0,0.0,F,-,-,-,-,-,-,-,39815.0,80.0,1.0,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0.0,451.0,200,OK,-,-,(empty),-,-,-,-,-,-,FJiS7PJyxxxxE6AR5,-,text/json,39815.0,80.0,tcp,http,0.024485,201,872,SF,T,T,0.0,ShADadfF,6.0,521.0,5.0,1140.0,-,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HueSwitch
C3Npsqs64WdoJQme9,F4bYO21I6Ds4CrFzk2,56196.0,80.0,HTTP,0.0,(empty),text/json,-,0.0,T,F,464.0,-,0.0,0.0,F,-,-,-,-,-,-,-,56196.0,80.0,1.0,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0.0,464.0,200,OK,-,-,(empty),-,-,-,-,-,-,F4bYO21I6Ds4CrFzk2,-,text/json,56196.0,80.0,tcp,http,0.019518,201,885,SF,T,T,0.0,ShADadftF,7.0,585.0,6.0,2073.0,-,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HueSwitch
C3O6hX1DK9Dx3OXoJe,FDNdDIZXV4cmyTWqg,52582.0,80.0,HTTP,0.0,(empty),application/xml,-,0.0,F,F,497.0,497,0.0,0.0,F,-,-,-,-,-,-,-,52582.0,80.0,1.0,GET,/router/firmware/query.aspx?model=DSP-W215_Bx_Default_FW_0222_908D78A93D6F,-,1.1,-,-,0.0,497.0,200,OK,-,-,(empty),-,-,-,-,-,-,FDNdDIZXV4cmyTWqg,-,application/xml,52582.0,80.0,tcp,http,1.336337,137,660,SF,T,F,0.0,ShADadFf,6.0,457.0,4.0,876.0,-,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-LinkSwitch
C4OIMd3RgIglALLBJ3,FR3mp83nMLhWWy0sx7,56123.0,80.0,HTTP,0.0,(empty),text/json,-,0.0,T,F,451.0,-,0.0,0.0,F,-,-,-,-,-,-,-,56123.0,80.0,1.0,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0.0,451.0,200,OK,-,-,(empty),-,-,-,-,-,-,FR3mp83nMLhWWy0sx7,-,text/json,56123.0,80.0,tcp,http,0.017307,201,872,SF,T,T,0.0,ShADadfF,6.0,521.0,5.0,1140.0,-,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HueSwitch
C4UsZp2SmoEFFfunnd,Fs3phj4qbEEobkgPSl,34903.0,80.0,HTTP,0.0,(empty),text/json,-,0.0,T,F,464.0,-,0.0,0.0,F,-,-,-,-,-,-,-,34903.0,80.0,1.0,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0.0,464.0,200,OK,-,-,(empty),-,-,-,-,-,-,Fs3phj4qbEEobkgPSl,-,text/json,34903.0,80.0,tcp,http,0.017811,201,885,SF,T,T,0.0,ShADadfF,6.0,521.0,5.0,1153.0,-,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HueSwitch
C4XKgn4VqJZd0vYp4c,FYDCY02NaznSk3FZo7,51737.0,80.0,HTTP,0.0,(empty),text/json,-,0.0,T,F,22.0,-,0.0,0.0,F,-,-,-,-,-,-,-,51737.0,80.0,1.0,GET,/api/792c3bef656bfd83720765ec2f717b9c/lights/new,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0.0,22.0,200,OK,-,-,(empty),-,-,-,-,-,-,FYDCY02NaznSk3FZo7,-,text/json,51737.0,80.0,tcp,http,0.009541,205,443,SF,T,T,0.0,ShADadfF,5.0,473.0,5.0,711.0,-,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HueBridge
C4mnUqV8a9mFDJYc7,FpGghv3sXnHLnrSmfk,42645.0,80.0,HTTP,0.0,(empty),text/json,-,0.0,T,F,451.0,-,0.0,0.0,F,-,-,-,-,-,-,-,42645.0,80.0,1.0,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0.0,451.0,200,OK,-,-,(empty),-,-,-,-,-,-,FpGghv3sXnHLnrSmfk,-,text/json,42645.0,80.0,tcp,http,0.010826,201,872,SF,T,T,0.0,ShADadfF,6.0,521.0,5.0,1140.0,-,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HueSwitch
C4n9xf1eoLfySMugga,FIURn03dbcd56Kzs1a,53609.0,80.0,HTTP,0.0,(empty),text/json,-,0.0,T,F,22.0,-,0.0,0.0,F,-,-,-,-,-,-,-,53609.0,80.0,1.0,GET,/api/792c3bef656bfd83720765ec2f717b9c/lights/new,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0.0,22.0,200,OK,-,-,(empty),-,-,-,-,-,-,FIURn03dbcd56Kzs1a,-,text/json,53609.0,80.0,tcp,http,0.018280,205,443,SF,T,T,0.0,ShADadfF,5.0,473.0,5.0,711.0,-,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HueBridge
C4uQrd1IETh3SCHR0i,F21pzuhWuMYUqCiU4,47652.0,80.0,HTTP,0.0,(empty),text/json,-,0.0,T,F,22.0,-,0.0,0.0,F,-,-,-,-,-,-,-,47652.0,80.0,1.0,GET,/api/792c3bef656bfd83720765ec2f717b9c/lights/new,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0.0,22.0,200,OK,-,-,(empty),-,-,-,-,-,-,F21pzuhWuMYUqCiU4,-,text/json,47652.0,80.0,tcp,http,0.016031,205,443,SF,T,T,0.0,ShADadfF,5.0,473.0,5.0,711.0,-,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HueBridge
C57qus3uIS5PQvxuU6,F6KYVx3pFJf68GkA61,40642.0,80.0,HTTP,0.0,(empty),text/plain,-,0.0,T,T,128.0,-,0.0,0.0,F,-,-,-,-,-,-,-,40642.0,80.0,1.0,POST,/queue/getmessage?duration=180000&interval=25&sso=91c2b44e0cc2e21ed49576ab6732c15b5c8a86e5f4211feb4a1e9a086dddf9d2663e7c6b035a33b43dd98c6168842c6bb4db90d7a83e0ad2cd8bf0010e8814e9836421ead32d055f3e05c80ba69c0955770db808bd9918cf1e9f2eb8ad0b227a626246c01274a1ddbc7663ca1a01aec93f5a829577f38c832649cf73f72a0c0d2fbe75ecf4adb27e0fe3bf0d10027b873f056baefe608d4d85f0fd8413d0a6ed3afe12cb943d5b384576983a1fc606ce661ee9090c3bfde87fa5e66716ac060b&i=3dde0fb47267816bbd8d09d0b9a27cf8&auth=43809e2fafe79f97ef05f2476d5ef55629ffb227,-,1.1,-,-,128.0,32.0,200,OK,-,-,(empty),-,-,-,F6KYVx3pFJf68GkA61,-,text/plain,FsoeiO3YFElx5SJMS7,-,text/plain,40642.0,80.0,tcp,http,0.053159,792,255,SF,T,F,0.0,ShADadfF,6.0,1112.0,6.0,575.0,-,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HueBridge
C5WqDIfqVM0oq60li,FNn2gd32TsvztCkx7k,49154.0,80.0,HTTP,0.0,(empty),text/plain,-,0.0,T,T,10.0,10,0.0,0.0,F,-,-,-,-,-,-,-,49154.0,80.0,1.0,POST,/cgi-bin/once,-,1.1,Withings UserAgent,-,10.0,48.0,200,OK,-,-,(empty),-,-,-,FNn2gd32TsvztCkx7k,-,text/plain,FpJfTk4xZ0tUVZRt9k,-,text/json,49154.0,80.0,tcp,http,2.631776,5686,2234,SF,T,F,0.0,ShADdaFf,23.0,6610.0,20.0,3038.0,-,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Withings
C65BvQ1VycRg1tNF7c,F21k6BuOXMQg8vK1h,34345.0,80.0,HTTP,0.0,(empty),text/json,-,0.0,T,T,271.0,271,0.0,0.0,F,-,-,-,-,-,-,-,34345.0,80.0,1.0,POST,/api/1d7a2f22157658516ebbad4748c9f43/rules/,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,271.0,24.0,200,OK,-,-,(empty),-,-,-,F21k6BuOXMQg8vK1h,-,text/json,FQR8dl2ahpehfdGMTl,-,text/json,34345.0,80.0,tcp,http,0.033805,542,445,SF,T,T,0.0,ShADadfF,7.0,914.0,7.0,817.0,-,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HueSwitch
